Membership Status,Satisfaction,Product Quality,Customer Service,Product Discounts,Early Access,Exclusive Products,Free Shipping,Personalized Recommendations,Rewards Points,Educational Content,Community Access,Likelihood to Renew,Cancellation Reason,Inflation Effect,Net Promoter Score,Improvement Suggestion,Age Range,Math Check,Membership Length,Gender,Household Income
Current member,3,5,3,6,9,7,2,8,9,6,7,3,Variety of products,"Yes, somewhat",1,Lower pricing tiers,25-34,4,More than 2 years,Woman,"$75,000 - $99,999"
Current member,5,4,3,9,6,8,8,9,9,8,8,5,Found better alternatives,"No, not at all",9,Lower pricing tiers,18-24,4,7-12 months,Woman,"Under $25,000"
Former member (cancelled more than 6 months ago),4,3,2,9,3,4,6,8,7,9,3,4,Product quality issues,"No, not at all",8,More tutorials and tips,18-24,4,Less than 3 months,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),3,4,3,8,8,8,8,9,4,6,7,4,Lack of customization,"No, not at all",4,Lower pricing tiers,25-34,4,1-2 years,Woman,Prefer not to say
Current member,5,5,2,2,9,7,6,8,7,7,7,4,Other,"No, not at all",1,More tutorials and tips,25-34,4,3-6 months,Woman,"$25,000 - $49,999"
Current member,5,5,5,7,6,7,8,9,9,8,6,5,Variety of products,"Yes, significantly",7,More tutorials and tips,25-34,4,3-6 months,Woman,"Under $25,000"
Former member (cancelled more than 6 months ago),5,3,5,6,7,6,7,8,6,8,6,3,Not using products enough,"Yes, significantly",1,More variety in product selection,18-24,4,Less than 3 months,Woman,"Under $25,000"
Current member,3,4,1,6,8,7,6,8,6,7,7,4,Lack of customization,"Yes, somewhat",2,More tutorials and tips,25-34,4,3-6 months,Woman,"$25,000 - $49,999"
Current member,5,5,4,6,6,6,2,9,3,6,7,1,Lack of customization,"No, not at all",4,Flexible skipping options,18-24,4,7-12 months,Woman,"$75,000 - $99,999"
Current member,4,3,4,8,1,8,9,9,3,9,7,5,Found better alternatives,"Yes, somewhat",1,Better customization,18-24,4,More than 2 years,Woman,"$50,000 - $74,999"
Current member,5,4,5,2,9,9,6,9,6,7,3,4,Variety of products,"Yes, somewhat",6,More shade options,25-34,4,3-6 months,Woman,"$50,000 - $74,999"
Current member,4,5,2,7,9,2,9,9,8,7,9,4,Customer service issues,"Yes, significantly",5,More tutorials and tips,25-34,4,1-2 years,Woman,"Under $25,000"
Current member,2,4,4,6,8,5,9,9,6,9,9,3,Lack of customization,"Yes, somewhat",5,More variety in product selection,35-44,4,3-6 months,Woman,"$75,000 - $99,999"
Former member (cancelled more than 6 months ago),4,5,1,7,9,7,9,8,7,6,6,0,Not using products enough,"No, not at all",6,More shade options,25-34,4,7-12 months,Woman,"$150,000 or more"
Current member,4,4,4,2,7,7,8,9,7,8,4,2,Lack of customization,"Yes, significantly",6,Flexible skipping options,25-34,4,1-2 years,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),3,3,5,7,2,8,8,9,9,8,4,2,Variety of products,"Yes, somewhat",1,Better customization,18-24,4,Less than 3 months,Woman,"$75,000 - $99,999"
Former member (cancelled more than 6 months ago),2,2,5,6,9,7,9,8,8,6,4,4,Variety of products,"No, not at all",7,More tutorials and tips,18-24,4,7-12 months,Woman,"$100,000 - $149,999"
Former member (cancelled more than 6 months ago),3,4,5,7,7,7,1,8,5,6,8,5,Not using products enough,"Yes, somewhat",3,Lower pricing tiers,25-34,4,More than 2 years,Woman,"$100,000 - $149,999"
Former member (cancelled within the last 3 months),4,5,3,8,8,7,7,9,9,7,3,4,Lack of customization,"Yes, significantly",9,More tutorials and tips,25-34,4,More than 2 years,Woman,Prefer not to say
Current member,4,5,4,6,8,6,8,8,3,9,8,1,Lack of customization,"Yes, significantly",5,More variety in product selection,18-24,4,More than 2 years,Woman,"Under $25,000"
Current member,5,5,4,9,6,7,8,8,6,8,7,0,Lack of customization,"Yes, somewhat",5,More shade options,25-34,4,Less than 3 months,Woman,"$50,000 - $74,999"
Former member (cancelled within the last 3 months),5,4,5,6,8,8,9,9,6,7,9,2,Variety of products,"No, not at all",3,Flexible skipping options,18-24,4,7-12 months,Woman,"$75,000 - $99,999"
Former member (cancelled 3-6 months ago),5,4,4,6,9,6,8,8,7,7,8,5,Not using products enough,"Yes, significantly",8,More variety in product selection,35-44,4,More than 2 years,Prefer not to say,"$25,000 - $49,999"
Current member,2,2,5,8,7,6,3,9,8,7,8,2,Variety of products,Unsure,2,Lower pricing tiers,18-24,4,3-6 months,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),5,5,4,8,6,6,7,8,6,6,6,2,Not using products enough,"Yes, somewhat",7,Better customization,45-54,4,7-12 months,Woman,Prefer not to say
Current member,4,3,5,8,6,6,7,8,7,7,9,0,Product quality issues,"Yes, significantly",7,Better customization,18-24,4,3-6 months,Woman,"$25,000 - $49,999"
Former member (cancelled more than 6 months ago),4,4,1,3,8,8,7,9,8,6,9,0,Not using products enough,"Yes, significantly",4,Lower pricing tiers,25-34,4,3-6 months,Woman,"$50,000 - $74,999"
Current member,2,4,3,8,6,9,6,9,9,7,9,5,Not using products enough,"Yes, significantly",6,Better customization,18-24,4,7-12 months,Woman,"Under $25,000"
Current member,4,4,5,8,2,9,2,8,7,7,8,5,Found better alternatives,"Yes, somewhat",9,More tutorials and tips,25-34,4,3-6 months,Woman,"Under $25,000"
Current member,4,4,2,9,5,6,7,8,4,8,5,4,Found better alternatives,Unsure,5,More shade options,18-24,4,1-2 years,Woman,"$75,000 - $99,999"
Former member (cancelled within the last 3 months),3,5,5,9,6,6,6,8,7,8,6,5,Not using products enough,"Yes, somewhat",3,More tutorials and tips,25-34,4,3-6 months,Woman,"$50,000 - $74,999"
Former member (cancelled 3-6 months ago),5,4,4,8,5,9,6,8,7,9,6,5,Not using products enough,Unsure,1,More variety in product selection,35-44,4,3-6 months,Woman,"Under $25,000"
Current member,4,5,5,8,6,2,9,8,8,7,6,4,Variety of products,"Yes, somewhat",9,More variety in product selection,65+,4,1-2 years,Woman,"$25,000 - $49,999"
Former member (cancelled within the last 3 months),5,2,2,8,8,7,9,8,9,6,8,0,Not using products enough,"No, not at all",9,More tutorials and tips,35-44,4,7-12 months,Woman,"$150,000 or more"
Former member (cancelled within the last 3 months),5,5,4,6,8,7,7,9,8,6,8,5,Lack of customization,"Yes, significantly",7,Lower pricing tiers,18-24,4,More than 2 years,Woman,"$25,000 - $49,999"
Former member (cancelled more than 6 months ago),5,4,5,7,7,2,7,9,6,6,9,3,Not using products enough,"No, not at all",5,More variety in product selection,35-44,4,3-6 months,Woman,"$100,000 - $149,999"
Former member (cancelled more than 6 months ago),3,3,5,9,7,9,6,9,7,6,9,4,Variety of products,"Yes, significantly",7,More shade options,25-34,4,3-6 months,Woman,"$25,000 - $49,999"
Current member,4,4,4,7,8,9,7,8,2,8,9,1,Not using products enough,"Yes, significantly",8,Flexible skipping options,18-24,4,1-2 years,Woman,"$25,000 - $49,999"
Former member (cancelled more than 6 months ago),4,5,5,6,7,8,6,9,8,8,9,5,Product quality issues,"No, not at all",9,Better customization,25-34,4,7-12 months,Woman,"$150,000 or more"
Current member,4,5,4,8,7,3,9,8,8,8,8,3,Variety of products,"Yes, somewhat",8,Lower pricing tiers,25-34,4,7-12 months,Woman,"Under $25,000"
Former member (cancelled more than 6 months ago),3,3,5,7,6,9,6,9,6,7,9,4,Not using products enough,"Yes, significantly",3,Flexible skipping options,18-24,4,7-12 months,Woman,"Under $25,000"
